Bermuda,BMU,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.983109951,4.079585075500001,4.017340183,1.775879979,4.33701992,2.289200068,2.306689978,4.07831502,4.164209843,4.2676501275,1.536880016,1.501639962,1.915443897,1.324959993,1.93595469,1.926798224,1.890087724,1.884916902
Bolivia,BOL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.983109951,4.079585075500001,7.195047855,6.847718239,6.723020077,7.574860096,6.973790169,6.450560093,6.627999783,6.803219795,7.478129864,8.143429756,8.15060997,8.097240448,8.015870094,8.091039658,8.437109947,4.0849078295000005
Brazil,BRA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.948930025,3.844680071,3.750370026,3.974479914,5.268839836,5.463550091,5.648799896,5.737410069,5.855100155,5.838850021,5.948480129,6.24105978,6.314040184,6.32047987,6.088510036,5.963469982,5.771500111,4.0849078295000005
Barbados,BRB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.71585989,6.055369854,5.880620003,6.024280071,4.922599792,5.116260052,6.054180145,4.07831502,5.262509823,5.148890018,6.143179893,5.383097649,4.697669983,4.363840103,5.424949169,4.111229897,4.202179909,4.975999832
Brunei Darussalam,BRN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.705909967,4.079585075500001,4.017340183,3.9131599665000003,4.33701992,4.483980179,2.046610117,3.322099924,2.889590025,4.2676501275,3.353189945,4.232900143,4.425409794,4.184885025,4.064687848,4.042768955,4.420020103500001,4.0849078295000005
Bhutan,BTN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.786759853,5.91573,4.017340183,6.609069824,4.911590099,4.741740227,4.12473011,4.765230179,4.164209843,5.722750187,6.04489994,6.238259792,6.336563587,6.699768543,6.074201107,4.761352539,5.980710506,6.974162102
Botswana,BWA,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.983109951,4.079585075500001,4.017340183,3.9131599665000003,4.33701992,9.825300217,4.048079967,4.07831502,9.258067131,8.017206192,8.223062515,8.394579887,8.73589325,7.809244633,7.905385971,8.398996353,8.058336258,4.0849078295000005
Central African Republic,CAF,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.612650037,4.079585075500001,1.519569993,1.624529958,1.290009975,1.254580021,1.117609978,1.107920051,1.980347276,2.63821435,2.220153332,1.91022861,1.754088998,1.753650188,1.565876007,1.767920732,2.1446805,1.87251687
Canada,CAN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.423319817,4.953030109,4.993080139,3.9131599665000003,4.62612009,4.840579987,5.356369972,5.262050152,4.692587376,4.589009762,4.843589783,4.739379883,4.816420078,4.959969997,4.888979912,4.772930145,4.887949944,4.594006062
Central Europe and the Baltics,CEB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.983930111,5.228459835,5.179230213,4.834060192,4.839900017,4.946360111,4.723750114,4.56317997,4.717720032,4.538440228,4.486579895,4.817009926,4.65749979,4.075270176,4.243569851,4.273190022,4.721590042,5.001584053
Switzerland,CHE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.658780098,4.822189808,5.17881012,5.314290047,4.757259846,4.925610065,4.802100182,4.856639862,4.898620129,4.913929939,4.930570126,4.99559021,4.981639862,5.017650127,4.930089951,5.014389992,5.291639805,5.044342995
Channel Islands,CHI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.983109951,4.079585075500001,4.017340183,3.9131599665000003,4.33701992,4.483980179,4.048079967,4.07831502,4.164209843,4.2676501275,4.139840126,4.232900143,4.294914961,4.184885025,4.064687848,4.042768955,4.420020103500001,4.0849078295000005
Chile,CHL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.757070065,4.079585075500001,4.048810005,3.543070078,3.79189992,4.254759789,4.189539909,4.061729908,4.541704178,4.548140049,4.751679897,4.903900146,5.36646986,5.432789803,5.473060131,5.619969845,5.62514019,4.0849078295000005
China,CHN,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.983109951,4.079585075500001,4.017340183,3.9131599665000003,3.631788254,3.751522064,3.754642487,3.521965027,3.944094181,3.710476398,3.580334187,3.813829899,3.761115551,3.667450428,3.542494535,3.541054726,3.572956324,3.297843456
Cote d'Ivoire,CIV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,2.40031004,2.444770098,2.810480118,2.911760092,3.098530054,3.173939943,3.246510029,2.865760088,3.434469938,3.458600044,3.314169884,3.494129896,3.935930014,3.736540079,3.211649895,3.440670013,3.78944993,3.372760057
Cameroon,CMR,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.702849984,2.297339916,4.017340183,2.795300007,2.498270035,2.907900095,2.84803009,2.653369904,2.603060007,2.655479908,2.583960056,2.657919884,2.562340021,3.059629917,3.030960083,3.047399521,3.103901386,2.827640772
"Congo, Dem. Rep.",COD,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.983109951,4.079585075500001,4.017340183,3.9131599665000003,4.33701992,4.483980179,1.524979949,4.07831502,4.164209843,2.062210083,1.951429963,2.170439959,2.118690014,1.454949975,4.064687848,4.042768955,2.622638464,2.660484791
"Congo, Rep.",COG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.983109951,4.079585075500001,3.208319902,2.288130045,4.33701992,4.483980179,5.686729908,2.646529675,2.739230633,5.013881207,3.183710098,3.282579899,5.210515976,4.450520039,2.995480061,3.559468985,4.619013786,3.67454195
Colombia,COL,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.511209965,3.708679914,4.268129826,4.079349995,3.938780069,4.776519775,4.83382988,4.466080189,4.370389938,4.878550053,4.629459858,4.470389843,4.477210045,4.535510063,4.449100018,4.510690212,5.265500069,4.0849078295000005
Comoros,COM,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.983109951,4.079585075500001,2.258419991,3.9131599665000003,4.42264986,4.483980179,4.048079967,2.830450058,2.747839928,2.382760048,2.744729996,2.545059919,4.294914961,4.184885025,4.064687848,4.042768955,2.378050804,2.274853945
Cabo Verde,CPV,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,3.983109951,4.079585075500001,7.876820087,7.476640224,5.034649849,4.865869999,5.076580048,4.597849846,5.397695541,4.561570168,4.521349907,4.806220055,4.754759789,4.592780113,4.787922859,4.138510227,4.420020103500001,6.037500858
Costa Rica,CRI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,4.666950226,4.832029819,5.150440216,4.890629768,4.886970043,6.010300159,6.565740108,6.379889965,6.582399845,6.687399864,6.67952013,6.87349987,6.893959999,7.069809914,6.769919872,6.738080025,6.62898016,6.281710148
