Country Name,Years,percentage of GDP
Netherlands,2016,5.479599953
Netherlands,2017,5.17509985
Netherlands,2018,5.357649803
Netherlands,2019,5.159860134
Netherlands,2020,5.423810005
Netherlands,2021,5.135831356
Norway,1999,6.962220192
Norway,2000,6.459340096
Norway,2001,6.820159912
Norway,2002,7.422460079
Norway,2003,7.399330139
Norway,2004,7.277440071
Norway,2005,6.840829849
Norway,2006,6.3582201
Norway,2007,6.506710052
Norway,2008,6.249159813
Norway,2009,7.070670128
Norway,2010,6.710420132
Norway,2011,6.41490984
Norway,2012,7.327660084
Norway,2013,7.439060211
Norway,2014,7.644030094
Norway,2015,7.523349762
Norway,2016,7.984449863
Norway,2017,7.845980167
Norway,2018,7.595630169
Norway,2019,7.864560127
Norway,2020,8.372819901
Norway,2021,5.041692257
Portugal,1999,5.046860218
Portugal,2000,5.163849831
Portugal,2001,5.33713007
Portugal,2002,5.258719921
Portugal,2003,5.281529903
Portugal,2004,5.046380043
Portugal,2005,5.073949814
Portugal,2006,4.907670021
Portugal,2007,4.921470165
Portugal,2008,4.696090221
Portugal,2009,5.563149929
Portugal,2010,5.412489891
Portugal,2011,5.123330116
Portugal,2012,4.949409962
Portugal,2013,5.270969868
Portugal,2014,5.124000072
Portugal,2015,4.885540009
Portugal,2016,4.770905972
Portugal,2017,5.015610218
Portugal,2018,4.675159931
Portugal,2019,4.630020142
Portugal,2020,4.876560211
Portugal,2021,4.711906433
Sweden,1999,6.848730087
Sweden,2000,6.740149975
Sweden,2001,6.617640018
Sweden,2002,6.924349785
Sweden,2003,6.791429996
Sweden,2004,6.663109779
Sweden,2005,6.506400108
Sweden,2006,6.364290237
Sweden,2007,6.171589851
Sweden,2008,6.344550133
Sweden,2009,6.749710083
Sweden,2010,6.522689819
Sweden,2011,6.366919994
Sweden,2012,7.536970139
Sweden,2013,7.611209869
Sweden,2014,7.573729992
Sweden,2015,7.443900108
Sweden,2016,7.618619919
Sweden,2017,7.568830013
Sweden,2018,7.640840054
Sweden,2019,7.638510227
Sweden,2020,7.925610065
Sweden,2021,6.679961205
Thailand,1999,4.832670212
Thailand,2000,5.25345993
Thailand,2001,4.81787014
Thailand,2002,3.864919901
Thailand,2003,3.725610018
Thailand,2004,4.030889988
Thailand,2005,3.93859005
Thailand,2006,4.05038023
Thailand,2007,3.603149891
Thailand,2008,3.508500099
Thailand,2009,3.861939907
Thailand,2010,3.508440018
Thailand,2011,4.805550098
Thailand,2012,3.596918344
Thailand,2013,3.824398518
Thailand,2014,3.919177532
Thailand,2015,3.86397624
Thailand,2016,3.767617464
Thailand,2017,3.465321541
Thailand,2018,3.197694063
Thailand,2019,3.022214174
Thailand,2020,3.153170824
Thailand,2021,2.986185074
