"Region","Country","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"SDG: Europe and Northern America","Republic of Moldova","5.81","5.67","5.71","5.54","6.23","6.60","5.82","6.15",""
"SDG: Europe and Northern America","Romania","3.11","3.03","3.12","3.32","3.57","3.59","3.25","",""
"SDG: Europe and Northern America","Russian Federation","3.83","3.76","4.69","4.68","3.51","3.70","","",""
"SDG: Europe and Northern America","San Marino","3.12","3.03","3.37","3.56","3.38","3.42","3.11","",""
"SDG: Europe and Northern America","Serbia","","3.63","3.71","3.58","3.62","","3.30","",""
"SDG: Europe and Northern America","Slovakia","4.58","3.90","3.93","3.95","4.27","4.76","4.26","",""
"SDG: Europe and Northern America","Slovenia","4.91","4.79","4.78","4.93","4.90","5.39","5.66","",""
"SDG: Europe and Northern America","Spain","4.28","4.23","4.21","4.18","4.23","4.90","4.55","",""
"SDG: Europe and Northern America","Sweden","7.44","7.62","7.57","7.64","7.64","7.93","6.65","",""
"SDG: Europe and Northern America","Switzerland","5.00","4.98","5.02","4.93","5.01","5.29","5.61","",""
"SDG: Europe and Northern America","Ukraine","5.74","5.01","5.42","5.32","5.44","5.38","5.74","5.93",""
"SDG: Europe and Northern America","United Kingdom of Great Britain and Northern Ireland","5.55","5.42","5.43","5.20","5.25","5.50","5.40","",""
"SDG: Europe and Northern America","United States of America","4.95","4.81","5.12","4.93","4.99","5.44","5.59","5.44",""
"SDG: Latin America and the Caribbean","Anguilla","2.98","3.18","3.65","3.30","2.83","4.01","3.55","",""
"SDG: Latin America and the Caribbean","Antigua and Barbuda","2.65","2.90","2.87","2.77","3.46","2.99","2.58","3.65",""
"SDG: Latin America and the Caribbean","Argentina","5.78","5.55","5.45","4.88","4.78","5.28","4.65","",""
"SDG: Latin America and the Caribbean","Aruba","5.89","5.49","","","","","","",""
"SDG: Latin America and the Caribbean","Bahamas","2.40","2.60","2.81","2.57","2.70","2.87","3.57","3.17","3.09"
"SDG: Latin America and the Caribbean","Barbados","5.18","4.70","4.36","5.13","4.11","4.20","4.98","4.51","5.13"
"SDG: Latin America and the Caribbean","Belize","5.36","5.68","5.90","6.07","5.91","5.15","5.86","4.47","5.00"
"SDG: Latin America and the Caribbean","Bolivia (Plurinational State of)","8.14","8.15","8.10","8.02","8.09","8.44","7.96","7.74",""
"SDG: Latin America and the Caribbean","Brazil","6.24","6.31","6.32","6.09","5.96","5.77","","",""
"SDG: Latin America and the Caribbean","British Virgin Islands","4.71","3.26","2.46","2.43","2.63","2.59","2.87","",""
"SDG: Latin America and the Caribbean","Cayman Islands","","","","2.16","2.06","","","",""
"SDG: Latin America and the Caribbean","Chile","4.90","5.37","5.43","5.47","5.62","5.63","4.04","",""
"SDG: Latin America and the Caribbean","Colombia","4.47","4.48","4.54","4.45","4.51","5.27","3.92","",""
"SDG: Latin America and the Caribbean","Costa Rica","6.87","6.89","7.07","6.77","6.74","6.63","6.28","",""
"SDG: Latin America and the Caribbean","Cuba","8.96","9.01","","","9.05","","9.39","",""
"SDG: Latin America and the Caribbean","Curaçao","7.36","7.23","","6.81","6.63","7.91","7.32","",""
"SDG: Latin America and the Caribbean","Dominica","3.41","4.81","5.21","4.84","5.53","4.70","5.19","4.66",""
"SDG: Latin America and the Caribbean","Dominican Republic","3.60","3.85","3.92","3.92","4.04","4.52","3.75","3.94",""
"SDG: Latin America and the Caribbean","Ecuador","5.00","4.36","4.61","4.62","4.23","4.11","3.69","3.65",""
"SDG: Latin America and the Caribbean","El Salvador","3.91","3.83","3.73","3.61","3.39","3.66","3.53","4.53",""
"SDG: Latin America and the Caribbean","Grenada","4.24","","3.17","3.56","","","4.09","3.94",""
"SDG: Latin America and the Caribbean","Guatemala","3.03","2.94","2.95","3.13","3.19","3.30","3.11","3.23",""
"SDG: Latin America and the Caribbean","Guyana","3.90","4.74","4.66","4.45","","","","",""
"SDG: Latin America and the Caribbean","Haiti","1.85","1.39","1.50","1.64","1.76","1.37","1.24","1.03",""
"SDG: Latin America and the Caribbean","Honduras","6.41","6.31","5.74","6.06","5.93","5.98","5.81","4.44",""
