"Region","Country","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"SDG: Europe and Northern America","Republic of Moldova","7.59","7.14","6.98","5.91","6.34","5.81","5.67","5.71","5.54","6.23","6.60","5.82","6.15",""
"SDG: Europe and Northern America","Romania","3.42","2.91","2.82","3.07","3.13","3.11","3.03","3.12","3.32","3.57","3.59","3.25","",""
"SDG: Europe and Northern America","Russian Federation","3.85","3.77","3.79","3.76","4.01","3.83","3.76","4.69","4.68","3.51","3.70","","",""
"SDG: Europe and Northern America","San Marino","2.63","2.70","","3.27","3.19","3.12","3.03","3.37","3.56","3.38","3.42","3.11","",""
"SDG: Europe and Northern America","Serbia","3.90","4.24","3.85","","","","3.63","3.71","3.58","3.62","","3.30","",""
"SDG: Europe and Northern America","Slovakia","4.04","3.90","3.86","4.07","4.22","4.58","3.90","3.93","3.95","4.27","4.76","4.26","",""
"SDG: Europe and Northern America","Slovenia","5.55","5.54","5.62","5.41","5.29","4.91","4.79","4.78","4.93","4.90","5.39","5.66","",""
"SDG: Europe and Northern America","Spain","4.86","4.74","4.48","4.35","4.30","4.28","4.23","4.21","4.18","4.23","4.90","4.55","",""
"SDG: Europe and Northern America","Sweden","6.52","6.37","7.54","7.61","7.57","7.44","7.62","7.57","7.64","7.64","7.93","6.65","",""
"SDG: Europe and Northern America","Switzerland","4.80","4.86","4.90","4.91","4.93","5.00","4.98","5.02","4.93","5.01","5.29","5.61","",""
"SDG: Europe and Northern America","Ukraine","7.40","5.94","6.44","6.42","5.87","5.74","5.01","5.42","5.32","5.44","5.38","5.74","5.93",""
"SDG: Europe and Northern America","United Kingdom of Great Britain and Northern Ireland","5.69","5.56","5.59","5.53","5.60","5.55","5.42","5.43","5.20","5.25","5.50","5.40","",""
"SDG: Europe and Northern America","United States of America","6.69","6.50","6.25","6.21","6.10","4.95","4.81","5.12","4.93","4.99","5.44","5.59","5.44",""
"SDG: Latin America and the Caribbean","Anguilla","","3.13","3.32","3.34","3.00","2.98","3.18","3.65","3.30","2.83","4.01","3.55","",""
"SDG: Latin America and the Caribbean","Antigua and Barbuda","","","2.36","2.65","2.54","2.65","2.90","2.87","2.77","3.46","2.99","2.58","3.65",""
"SDG: Latin America and the Caribbean","Argentina","5.02","5.29","5.35","5.44","5.36","5.78","5.55","5.45","4.88","4.78","5.28","4.65","",""
"SDG: Latin America and the Caribbean","Aruba","6.75","5.91","6.35","6.44","5.85","5.89","5.49","","","","","","",""
"SDG: Latin America and the Caribbean","Bahamas","","2.35","2.45","2.35","2.45","2.40","2.60","2.81","2.57","2.70","2.87","3.57","3.17","3.09"
"SDG: Latin America and the Caribbean","Barbados","6.05","","5.26","5.15","6.14","5.18","4.70","4.36","5.13","4.11","4.20","4.98","4.51","5.13"
"SDG: Latin America and the Caribbean","Belize","5.27","5.52","5.47","5.14","5.15","5.36","5.68","5.90","6.07","5.91","5.15","5.86","4.47","5.00"
"SDG: Latin America and the Caribbean","Bolivia (Plurinational State of)","6.97","6.45","6.63","6.80","7.48","8.14","8.15","8.10","8.02","8.09","8.44","7.96","7.74",""
"SDG: Latin America and the Caribbean","Brazil","5.65","5.74","5.86","5.84","5.95","6.24","6.31","6.32","6.09","5.96","5.77","","",""
"SDG: Latin America and the Caribbean","British Virgin Islands","3.50","","3.57","4.47","4.02","4.71","3.26","2.46","2.43","2.63","2.59","2.87","",""
